id,name,now_cost,position,team,ep_next,points_per_game_rank,selected_rank_type,influence,saves_per_90,goals_conceded_per_90,points_per_game_rank_type,web_name,creativity_rank_type,in_dreamteam,ict_index_rank_type,transfers_out_event,threat,bonus,red_cards,dreamteam_count,form_rank,influence_rank_type,influence_rank,region,form_rank_type,transfers_in_event,assists,selected_by_percent,value_season,expected_goals,clean_sheets,corners_and_indirect_freekicks_order,expected_assists_per_90,cost_change_event_fall,creativity,goals_scored,value_form,expected_assists,penalties_missed,form,chance_of_playing_next_round,event_points,clean_sheets_per_90,transfers_out,now_cost_rank,now_cost_rank_type,ict_index_rank,goals_conceded,expected_goals_conceded,direct_freekicks_order,ep_this,starts_per_90,expected_goals_conceded_per_90,expected_goal_involvements_per_90,expected_goals_per_90,ict_index,status,threat_rank,news_added,creativity_rank,points_per_game,chance_of_playing_this_round,cost_change_event,bps,starts,transfers_in,selected_rank,saves,yellow_cards,total_points,news,penalties_order,cost_change_start,own_goals,cost_change_start_fall,minutes,expected_goal_involvements,penalties_saved,threat_rank_type
485,Alfie Devine,45,MID,Spurs,0.0,581,175,0.0,0.0,0.0,248,Devine,247,False,245,314,0.0,0,0,0,542,242,573,,221,0,0,0.1,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,10131,438,259,577,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,550,2024-09-10T11:37:22.522366Z,570,0.0,0.0,0,0,0,4716,474,0,0,0,Loaned to Westerlo,,0,0,0,0,0.00,0,236
486,Radu Drăgușin,43,DEF,Spurs,0.8,332,140,19.4,0.0,1.82,115,Dragusin,117,False,116,576,6.0,0,0,0,310,113,315,177.0,98,305,0,0.2,0.5,0.02,0,,0.01,0,1.7,0,0.1,0.01,0,0.3,,0,0.0,15027,564,149,359,2,1.76,,0.8,0.91,1.6,0.03,0.02,2.7,a,300,,360,1.0,,0,8,1,5405,386,0,0,2,,,-2,0,2,99,0.03,0,96
487,Emerson Leite de Souza Junior,45,DEF,Spurs,0.0,553,210,0.0,0.0,0.0,212,E.Royal,212,False,213,30,0.0,0,0,0,513,213,545,,208,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,2519,394,79,549,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,517,2024-08-13T07:06:12.490889Z,540,0.0,0.0,0,0,0,0,626,0,0,0,Transferred to AC Milan,,0,0,0,0,0.00,0,205
488,Fraser Forster,44,GKP,Spurs,0.5,515,52,0.0,0.0,0.0,62,Forster,43,False,62,491,0.0,0,0,0,456,62,507,241.0,57,230,0,0.2,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,11671,485,21,511,0,0.00,,0.5,0.0,0.0,0.0,0.0,0.0,a,457,,491,0.0,,0,0,0,3761,351,0,0,0,,,-1,0,1,0,0.00,0,37
489,Archie Gray,48,MID,Spurs,0.8,361,142,7.4,0.0,0.0,177,Gray,197,False,201,865,0.0,0,0,0,329,185,376,241.0,167,264,0,0.2,0.6,0.00,0,,0.03,0,2.6,0,0.1,0.01,0,0.3,,0,0.0,18450,336,224,401,0,0.12,,0.8,0.0,0.34,0.03,0.0,1.0,a,596,,349,1.0,,0,7,0,6627,396,0,0,3,,,-2,0,2,32,0.01,0,268
490,Pierre-Emile Højbjerg,50,MID,Spurs,0.0,632,292,0.0,0.0,0.0,284,Højbjerg,283,False,284,8,0.0,0,0,0,615,282,628,,273,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,486,194,121,631,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,620,2024-07-23T11:58:08.802970Z,625,0.0,0.0,0,0,0,0,651,0,0,0,On loan to Marseille for the season,,0,0,0,0,0.00,0,281
491,Brennan Johnson,66,MID,Spurs,8.8,29,21,148.2,0.0,1.23,13,Johnson,68,False,15,10045,280.0,1,0,0,2,19,56,244.0,2,200675,2,5.4,5.5,3.09,2,,0.08,-1,89.1,3,1.3,0.46,0,8.3,,7,0.35,78066,39,21,20,7,7.10,,8.8,1.05,1.25,0.62,0.54,51.8,a,6,,88,5.1,,1,120,6,551530,73,0,1,36,,,1,0,-1,513,3.55,0,3
492,Dejan Kulusevski,62,MID,Spurs,5.2,89,46,136.8,0.0,1.2,37,Kulusevski,5,False,9,8910,194.0,3,0,0,47,27,77,206.0,25,14538,1,1.9,3.9,1.10,2,3.0,0.2,0,262.5,1,0.8,1.19,0,4.7,,1,0.34,207440,71,48,12,7,7.00,,5.2,1.02,1.2,0.39,0.19,59.2,a,24,,5,3.4,,0,90,6,140796,150,0,2,24,,,-3,0,3,527,2.29,0,14
493,Giovani Lo Celso,49,MID,Spurs,0.0,624,221,0.0,0.0,0.0,280,Lo Celso,279,False,279,121,0.0,0,0,0,599,277,618,,263,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,9972,269,178,621,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,606,2024-08-31T06:14:45.936781Z,614,0.0,0.0,0,0,0,2052,545,0,0,0,Transferred to Real Betis,,-1,0,1,0,0.00,0,275
494,James Maddison,75,MID,Spurs,8.8,22,22,208.0,0.0,1.28,10,Maddison,9,False,6,14766,199.0,6,0,1,3,7,18,241.0,3,57986,3,5.4,5.2,2.10,2,1.0,0.47,0,247.0,2,1.1,2.97,0,8.3,,10,0.32,378564,16,10,7,8,7.59,2.0,8.8,1.12,1.21,0.81,0.34,65.4,a,21,,9,5.6,,0,178,7,413138,74,0,2,39,,2.0,0,0,0,563,5.07,0,13
495,Pedro Porro,55,DEF,Spurs,3.2,68,3,190.2,0.0,1.15,15,Pedro Porro,3,False,1,69382,72.0,1,0,1,125,5,22,200.0,40,39850,0,29.0,4.7,0.54,2,,0.14,0,205.4,1,0.5,0.98,0,2.7,100.0,1,0.29,1560488,121,12,26,8,7.84,1.0,3.2,1.0,1.13,0.22,0.08,46.8,a,96,2024-08-19T23:00:06.196679Z,16,3.7,100.0,0,120,7,1094296,9,0,1,26,,,0,0,0,627,1.52,0,11
496,Sergio Reguilón,43,DEF,Spurs,0.5,509,129,0.0,0.0,0.0,187,Reguilón,187,False,188,767,0.0,0,0,0,449,188,501,200.0,171,343,0,0.2,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,20339,557,143,505,0,0.00,,0.5,0.0,0.0,0.0,0.0,0.0,a,449,,485,0.0,,0,0,0,6022,362,0,0,0,,,-2,0,2,0,0.00,0,172
497,Richarlison de Andrade,68,FWD,Spurs,0.0,400,47,3.2,0.0,0.0,43,Richarlison,39,False,39,1163,7.0,0,0,0,661,37,399,30.0,71,88,0,0.4,0.3,0.19,0,,0.0,0,2.2,0,0.0,0.00,0,0.0,0.0,0,0.0,123935,34,15,398,0,0.06,,0.0,0.0,0.22,0.68,0.68,1.1,i,297,2024-08-30T13:30:05.834602Z,353,1.0,0.0,0,4,0,42173,286,0,0,2,Muscle injury - Unknown return date,2.0,-2,0,2,25,0.19,0,37
498,Cristian Romero,51,DEF,Spurs,3.5,54,16,177.0,0.0,1.14,9,Romero,34,False,8,28286,124.0,2,0,1,102,9,31,10.0,28,25526,0,10.1,5.5,0.97,2,,0.07,0,51.4,1,0.6,0.46,0,3.0,,1,0.29,441563,186,21,54,8,7.90,,3.5,1.0,1.13,0.21,0.14,35.4,a,52,,158,4.0,,0,136,7,812434,44,0,0,28,,,1,0,-1,630,1.43,0,6
499,Pape Matar Sarr,49,MID,Spurs,2.5,279,126,51.4,0.0,0.85,137,P.M.Sarr,109,False,103,1075,44.0,0,0,0,152,99,232,189.0,69,679,1,0.2,2.0,0.60,0,,0.06,0,48.6,0,0.4,0.15,0,2.0,,1,0.0,21806,292,195,209,2,1.60,,2.5,0.85,0.68,0.32,0.26,14.4,a,147,,166,1.4,,0,53,2,13289,361,0,1,10,,,-1,0,1,211,0.75,0,90
500,Dane Scarlett,45,FWD,Spurs,0.0,573,61,0.0,0.0,0.0,51,Scarlett,48,False,49,248,0.0,0,0,0,533,48,565,,43,0,0,0.1,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,11800,429,68,569,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,542,2024-08-14T08:32:58.295903Z,562,0.0,0.0,0,0,0,0,452,0,0,0,Loaned to Oxford United,,0,0,0,0,0.00,0,46
